ID, Album, Chemin, Nom, Dimension
69, "5-star", "./images/albums/19-2023-5-star/Ver-limite.jpg", "Limited", "A"
70, "Social path / Super bowl", "./images/albums/20-2023-Social_path_super_bowl/Couverture.jpg", "Couverture", "C"
71, "Social path / Super bowl", "./images/albums/20-2023-Social_path_super_bowl/Ver-A.jpg", "Limited A", "A"
72, "Social path / Super bowl", "./images/albums/20-2023-Social_path_super_bowl/Ver-B.jpg", "Limited B", "A"
73, "Rock-star", "./images/albums/21-2023-Rock-star/Couverture.jpg", "Couverture", "C"
74, "Rock-star", "./images/albums/21-2023-Rock-star/Ver-Rock.jpg", "Rock", "A"
75, "Rock-star", "./images/albums/21-2023-Rock-star/Ver-Roll.jpg", "Roll", "A"
76, "Rock-star", "./images/albums/21-2023-Rock-star/Ver-limite.jpg", "Star Limited", "A"
77, "Ate", "./images/albums/22-2024-Ate/Couverture.jpg", "Couverture", "C"
78, "Ate", "./images/albums/22-2024-Ate/Ver-Chk_chk.jpg", "Chk chk", "A"
79, "Ate", "./images/albums/22-2024-Ate/Ver-Boom.jpg", "Boom", "A"
80, "Ate", "./images/albums/22-2024-Ate/Ver-limite.jpg", "Ate Limited", "A"
81, "Giant", "./images/albums/23-2024-Giant/Couverture.jpg", "Couverture", "C"
82, "Giant", "./images/albums/23-2024-Giant/Ver-A.jpg", "Limited A", "A"
83, "Giant", "./images/albums/23-2024-Giant/Ver-B.jpg", "Limited B", "A"
84, "Hop", "./images/albums/24-2024-Hop/Couverture.jpg", "Couverture", "C"
85, "Hop", "./images/albums/24-2024-Hop/Ver-A.jpg", "SkzHop", "A"
86, "Hop", "./images/albums/24-2024-Hop/Ver-B.jpg", "Hiptape", "A"
87, "Hollow", "./images/albums/25-2025-Hollow/Couverture.jpg", "Couverture", "C"
88, "Hollow", "./images/albums/25-2025-Hollow/Ver-A.jpg", "Limited A", "B"
89, "Hollow", "./images/albums/25-2025-Hollow/Ver-B.jpg", "Limited B", "B"
90, "Hollow", "./images/albums/25-2025-Hollow/Ver-C.jpg", "Limited C", "B"
91, "Karma", "./images/albums/26-2025-Karma/Couverture.jpg", "Couverture", "C"
92, "Karma", "./images/albums/26-2025-Karma/Ver-Ceremony.jpg", "Ceremony", "B"
93, "Karma", "./images/albums/26-2025-Karma/Ver-Hooray.jpg", "Hooray", "B"
94, "Do it", "./images/albums/27-2025-Do_it/Couverture.jpg", "Couverture", "C"
95, "Do it", "./images/albums/27-2025-Do_it/Ver-Do.jpg", "Do", "A"
96, "Do it", "./images/albums/27-2025-Do_it/Ver-It.jpg", "It", "A"
